"SiteID_WQX","SiteName_WQX","Parameter","SiteID"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Selenium","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Ammonia","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Nitrate + Nitrite","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Orthophosphate","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Phosphorus","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Total Kjeldahl nitrogen","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Total Nitrogen, mixed forms","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Total Phosphorus, mixed forms","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Organic carbon","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Alkalinity, total","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Hardness, Ca, Mg","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Specific conductance","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Total dissolved solids","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Total suspended solids","OUA0241"
"ARDEQH2O_WQX-OUA0241","South Fork Terre Noire Creek on Hwy 182 ~6 miles NW of Gurdon","Turbidity","OUA0241"
"ARDEQH2O_WQX-OUA0244","Howard Creek on Nevada CR F216 Rd ~8.5 miles SE of Delight","Chlorophyll a","OUA0244"
"ARDEQH2O_WQX-OUA0244","Howard Creek on Nevada CR F216 Rd ~8.5 miles SE of Delight","Calcium","OUA0244"
"ARDEQH2O_WQX-OUA0244","Howard Creek on Nevada CR F216 Rd ~8.5 miles SE of Delight","Magnesium","OUA0244"
"ARDEQH2O_WQX-OUA0244","Howard Creek on Nevada CR F216 Rd ~8.5 miles SE of Delight","Potassium","OUA0244"
"ARDEQH2O_WQX-OUA0244","Howard Creek on Nevada CR F216 Rd ~8.5 miles SE of Delight","Sodium","OUA0244"
"ARDEQH2O_WQX-OUA0244","Howard Creek on Nevada CR F216 Rd ~8.5 miles SE of Delight","Bromide","OUA0244"
"ARDEQH2O_WQX-OUA0244","Howard Creek on Nevada CR F216 Rd ~8.5 miles SE of Delight","Chloride","OUA0244"
"ARDEQH2O_WQX-OUA0244","Howard Creek on Nevada CR F216 Rd ~8.5 miles SE of Delight","Fluoride","OUA0244"
"ARDEQH2O_WQX-OUA0244","Howard Creek on Nevada CR F216 Rd ~8.5 miles SE of Delight","Sulfate","OUA0244"
"ARDEQH2O_WQX-OUA0244","Howard Creek on Nevada CR F216 Rd ~8.5 miles SE of Delight","Aluminum","OUA0244"
"ARDEQH2O_WQX-OUA0244","Howard Creek on Nevada CR F216 Rd ~8.5 miles SE of Delight","Barium","OUA0244"
"ARDEQH2O_WQX-OUA0244","Howard Creek on Nevada CR F216 Rd ~8.5 miles SE of Delight","Beryllium","OUA0244"
"ARDEQH2O_WQX-OUA0244","Howard Creek on Nevada CR F216 Rd ~8.5 miles SE of Delight","Cadmium","OUA0244"
"ARDEQH2O_WQX-OUA0244","Howard Creek on Nevada CR F216 Rd ~8.5 miles SE of Delight","Chromium","OUA0244"
"ARDEQH2O_WQX-OUA0244","Howard Creek on Nevada CR F216 Rd ~8.5 miles SE of Delight","Cobalt","OUA0244"
"ARDEQH2O_WQX-OUA0244","Howard Creek on Nevada CR F216 Rd ~8.5 miles SE of Delight","Copper","OUA0244"
"ARDEQH2O_WQX-OUA0244","Howard Creek on Nevada CR F216 Rd ~8.5 miles SE of Delight","Iron","OUA0244"
"ARDEQH2O_WQX-OUA0244","Howard Creek on Nevada CR F216 Rd ~8.5 miles SE of Delight","Lead","OUA0244"
"ARDEQH2O_WQX-OUA0244","Howard Creek on Nevada CR F216 Rd ~8.5 miles SE of Delight","Manganese","OUA0244"
"ARDEQH2O_WQX-OUA0244","Howard Creek on Nevada CR F216 Rd ~8.5 miles SE of Delight","Nickel","OUA0244"
"ARDEQH2O_WQX-OUA0244","Howard Creek on Nevada CR F216 Rd ~8.5 miles SE of Delight","Silver","OUA0244"
